Pregunta Nº,Tema,Pregunta,Respuesta correcta,Respuesta incorrecta 1,Respuesta incorrecta 2,Descripción (mensaje que se obtiene al elegir la respuesta)
1,Política Nacional,¿En qué año se comenzó a aplicar el esquema de pago de ganancias conocido como la 'Tablita de Machinea'?,2000,1990,1980,"La reforma tributaria impulsada por el gobierno de la Alianza fue aprobada por el Congreso en diciembre de 1999, pero empezó a regir a partir del año 2000."
2,Política Nacional,¿Quién es hoy el presidente del PJ Bonaerense?,Maximo Kirchner ,Veronica Magario,Gustavo Menéndez,"Maximo Kirchner, asumió como presidente del PJ bonaerense en diciembre de 2021 y permanece en el cargo desde entonces."
3,Política Nacional,¿Quién fue el primer ministro de Economía de Néstor Kirchner en 2003?,Roberto Lavagna,Jorge Remes Lenicov,Miguel Peirano,Lavagna asumió como ministro de Economía y Producción en abril de 2002 durante la Presidencia interina de Duhalde. N. Kirchner lo confirmó en el cargo en 2003. 
4,Política Nacional,¿Qué vicepresidente renunció en el año 2000?,"Carlos ""Chacho"" Álvarez",Graciela Fernández Meijide,José Machinea,"Carlos Álvarez renunció en forma indeclinable a su cargo el 6 de octubre de 2000, había sido electo sólo un año antes."
5,Política Nacional,¿Quién ocupa el juzgado federal con competencia en las elecciones? ,María Servini de Cubría,Daniel Rafecas,Marcelo Martínez de Giorgi,Servini de Cubría ocupa el Juzgado Federal nro 1 desde noviembre de 1990.
6,Política Nacional,"¿En qué ciudad se organizó el cónclave de la UCR que definió la integración radical a Cambiemos, en 2015?",Gualeguaychú,Paraná,Zárate,"En la Convención de Gualeguaychú, con el aval de 186 delegados sobre 330, la UCR decidió formar una alianza con el PRO y la Coalición Cívica que llamarían ""Cambiemos""."
7,Política Nacional,¿Qué ministro estuvo en su cargo durante la gestión de Mauricio Macri y la de Cristina Kirchner?,Lino Barañao,Alberto Fernández,Oscar Aguad,"Barañao fue único ministro que tuvo continuidad entre gestiones, ocupó el Ministerio de Ciencia por más de 10 años."
8,Política Nacional,¿Qué ex-futbolista fue Secretario de Deportes?,Roberto Perfumo,Norberto Alonso,Diego Latorre,"Perfumo fue Secretario de Deportes durante la presidencia de Néstor Kirchner, fue sucedido por Claudio Morresi, otro ex futbolista."
9,Política Nacional,¿Quién es el gobernador de Misiones?,Oscar Herrera Ahuad,Maurice Closs,Hugo Passalacqua,"El actual gobernador de Misiones es Oscar Herrera Ahuad, quien será sustituido el 10 de diciembre de 2023 por Hugo Passalacqua, gobernador electo."
10,Política Nacional,¿Quién es el gobernador de Córdoba?,Juan Schiaretti,Martín Llaryora,Luis Juez,"Hasta el 10 de diciembre de 2023, el gobernador de Córdoba es Juan Schiaretti, luego de esa fecha será sucedido por Martín Llaryora, gobernador electo."
11,Política Nacional,¿Quién fue la primera gobernadora electa de Argentina?,Fabiana Ríos,Lucía Corpacci,Rosana Bertone,"Fabiana Ríos fue la primera mujer electa gobernadora de una provincia, en Tierra del Fuego en 2007."
12,Política Nacional,¿Qué candidato ocupó el primer puesto en las elecciones presidenciales de 2003?,Carlos Menem,Néstor Kirchner,Ricardo López Murphy,"Menem obtuvo el 24% de los votos, frente al 22% de Kirchner y al 16% de López Murphy. "
13,Política Nacional,¿Cuántas mujeres fueron electas gobernadoras de alguna provincia en toda la historia?,7,9,19,"Fabiana Ríos (T. del Fuego), Lucía Corpacci (Catamarca), Claudia Ledesma Abdala (Santiago del Estero), Ma. Eugenia Vidal (Buenos Aires), Alicia Kirchner (Sta Cruz), Rosana Bertone (T. del Fuego) y Arabela Marisa Carreras (Río Negro) encabezaron la fórmula para la gobernación y ganaron. "
14,Política Nacional,¿Qué partido del Conurbano Bonaerense cuenta con la misma familia en la intendencia desde 1983?,San Isidro,La Matanza,Lomas de Zamora,"En 1999, Gustavo Posse fue electo Intendente de San Isidro y, desde entonces, ocupa el cargo. Antes de él, el distrito lo gobernó su padre, Melchor Posse, durante 16 años. En 2023, la candidata es Macarena Posse, hija de Gustavo, nieta de Melchor."
15,Política Nacional,¿Qué presidente/a firmó un mayor número de Decretos de Necesidad y Urgencia (DNU)?,Néstor Kirchner,Mauricio Macri,Alberto Fernandez ,Néstor Kirchner firmó 236 decretos en 4 años de presidencia.
17,Política Nacional,De las siguientes provincias ¿cuál está gobernada por Juntos por el Cambio?,Jujuy,Córdoba,Tierra del Fuego,"Gerardo Morales es gobernador de Jujuy desde el 10 de diciembre de 2015. A partir del 10 de diciembre de 2023, la provincia estara a cargo de Carlos Sadir, gobernador electo, también de Juntos."
18,Política Nacional,¿Quién fue la primera candidata a diputada en Argentina en el año 1919?,Julieta Lanteri,Alicia Moreau de Justo,Elvira Rawson,Lanteri es también la fundadora del Partido Feminista Nacional.
19,Política Nacional,¿Qué ministro de la actual Corte Suprema fue convencional constituyente en la reforma de 1994?,Juan Carlos Maqueda,Carlos Rosenkrantz,Ricardo Lorenzetti,"En 1994, se reformó la Constitución Nacional. Entre lo integrantes de la Convención Constituyente se encontraban los actuales jueces de la Corte Juan Maqueda y Horacio Rosatti."
20,Política Nacional,¿Cuántos ministerios existen actualmente en la Argentina?,19,21,11,"Incluyendo a la Jefatura de gabinete, Argentina tiene 19 ministerios nacionales. Hasta el 2022 el gobierno de Alberto Fernández contó con 21 ministerios, pero el número se redujo con la unificación de los ministerios de Agricultura y Producción al Ministerio de Economia."
21,Política Nacional,"¿Qué ciudadano argentino fue parlamentario, juez de la corte, gobernador, presidente y vicepresidente de la Nación?",José Figueroa Alcorta,Faustino Sarmiento,Nadie,"Figuero Alcorta fue diputado nacional, senador nacional, gobernador de Córdoba, vicepresidente y presidente de la Nación. También, fue juez de la Corte Suprema."
22,Política Nacional,¿Quién es el actual ministro de Defensa?,Jorge Taiana,Agustín Rossi,Martín Soria,"Jorge Taiana asumió como ministro de Defensa el 10 de agosto de 2021, en reemplazo de Agustín Rossi."
23,Política Nacional,¿Cuántos ministerios están liderados por mujeres actualmente?,4,3,5,"Carla Vizzotti es la titular del Ministerio de Salud, Raquel ""Kelly"" Olmos del Ministerio del Trabajo, Victoria Tolosa Paz se encuentra al frente del Ministerio de Desarrollo Social y Ayelén Mazzina en el Ministerio de las Mujeres. Son 4 sobre 21 ministerios."
24,Política Nacional,¿Quién es el jefe de gabinete del gobernador Axel Kicillof?,Martín Insaurralde,Mariano Cascallares,Fernando Espinoza,Martín Insaurralde asumió como jefe de gabinete de Axel Kicillof el 20 de septiembre de 2021. Hasta ese entonces estaba a cargo de la intendencia de Lomas de Zamora.
